No,ID,Title (ID),Title (EN),Slug,Short Description (ID),Short Description (EN),Donor (ID),Donor (EN),Status,Year Start,Year End,Programs,Activity Types
1,"214ce922-ac6c-4c09-8d67-9f5a4d6597c8","Perencanaan Strategis Mineral dan Batubara 2025–2029","Mineral and Coal Strategic Planning 2025–2029","renstra-minerba-2025-2029","Masukan teknis untuk memasukkan aspek keberlanjutan dan prinsip transisi energi dalam dokumen Strategi Minerba 2025–2029.","Technical input to include sustainability aspects and energy transition principles in the 2025–2029 Mineral and Coal Strategy document.","Direktorat Jenderal Minerba  KESDM","Directorate General of Minerals and Coal  Ministry of Energy and Mineral Resources",ongoing,,,"energy; natural-resources",""
2,"mt1cTqOxi4IifpOwCk8vth","Biomass Resource Assessment Lombok","","biomass-resource-assessment-lombok","Kajian potensi biomassa dari residu pertanian di Lombok.","","PEMconsult / DSIF (Denmark)","",completed,,,"natural-resources; energy",""
3,"mt1cTqOxi4IifpOwCk8wIf","Biomass Resource Assessment Sumbawa","","biomass-resource-assessment-sumbawa","Biomassa netral karbon untuk transisi energi di Sumbawa.","","PEMconsult","",completed,,,"natural-resources; energy",""
4,"mt1cTqOxi4IifpOwCk8wZJ","Carbon Pricing & Environmental Policy Capacity Building","","carbon-pricing-environmental-policy","Penguatan kapasitas kebijakan lingkungan dan iklim melalui carbon pricing.","","UK PACT & partners","",completed,,,"environment; energy",""
5,"mt1cTqOxi4IifpOwCk8wpx","Circular Economy & Environmental Management Studies","","circular-economy-environmental-management","Studi ekonomi sirkular dan pengelolaan dampak lingkungan.","","Internal / Kolaboratif","",ongoing,,,"environment; natural-resources",""
6,"mt1cTqOxi4IifpOwCk8xNF","Energy Audits Level 2 (Berbagai Gedung Pemerintah)","Energy Audits Level 2 (Various Government Buildings)","energy-audits-level-2","Audit energi pada gedung kementerian  provinsi  rumah sakit  dan universitas.","Energy audits of ministry  provincial  hospital and university buildings.","UK PACT INTENS","UK PACT INTENS",completed,,,"energy",""
7,"mt1cTqOxi4IifpOwCk8yNf","Interdisciplinary Climate Adaptation & Environmental Management","","interdisciplinary-climate-adaptation","Ketahanan lingkungan  adaptasi iklim  dan pendekatan lintas sektor untuk pengelolaan lingkungan berkelanjutan.","","Internal / Kolaboratif","",ongoing,,,"environment",""
8,"mt1cTqOxi4IifpOwCk8yeJ","Pilot Pendampingan EnMS 28 Gedung Pemerintah","","pilot-pendampingan-enms-28-gedung","Pendampingan intensif implementasi EnMS (ISO 50005) pada 28 gedung pemerintah.","","UK PACT INTENS","",completed,,,"energy",""
9,"mt1cTqOxi4IifpOwCk8yux","Regulasi IKE & Lampiran Permen ESDM No. 3/2025","","regulasi-ike-permen-esdm-3-2025","Fasilitasi penyusunan & penerimaan standar IKE untuk gedung pemerintah sebagai lampiran resmi Permen ESDM No. 3/2025.","","KESDM – Direktorat Konservasi Energi","",ongoing,,,"energy",""
10,"mt1cTqOxi4IifpOwCk8zej","Scaling-Up Strategies for Transforming Actions in Energy Efficiency","","scaling-up-ee-buildings-maritime","Pengembangan kebijakan perluasan efisiensi energi (UK PACT Phase 2) untuk sektor bangunan dan maritim.","","UK PACT / FCDO","",ongoing,,,"energy",""
11,"mt1cTqOxi4IifpOwCk90jJ","Technical Assistance – Subroto Awards (PEEN)","","ta-subroto-awards-peen","Bimbingan teknis untuk peserta penghargaan efisiensi energi nasional (PEEN).","","KESDM (EBTKE)","",completed,,,"energy",""
12,"pTII3WhckjUqxhF3RNVkrP","INTENS - Indonesia Energy Efficiency Program","","intens","Program peningkatan kapasitas efisiensi energi di gedung pemerintah dan sektor industri melalui pelatihan  pendampingan  dan sertifikasi profesional bidang manajemen energi.","","UK-PACT","",ongoing,,,"energy",""
13,"pTII3WhckjUqxhF3RNXaf3","AKSELERASI – Sistem MRV untuk Mitigasi GRK Sektor Energi","","akselerasi-mrv","Platform digital MRV untuk pemantauan dan pelaporan aksi mitigasi GRK sektor energi secara transparan.","","UK PACT / KESDM","",ongoing,,,"energy; environment",""
14,"pTII3WhckjUqxhF3RNXakh","Alternative Fuel Mapping (Rice Husk & Agricultural Waste)","","alternative-fuel-mapping","Pemanfaatan limbah pertanian & SDA sekunder untuk bahan bakar alternatif.","","Internal / Kolaboratif","",completed,,,"natural-resources; energy",""
15,"pTII3WhckjUqxhF3RNXavB","Ecosystem Resilience through Education & Stakeholder Collaboration","","ecosystem-resilience-education","Edukasi lingkungan dan kolaborasi multipihak untuk ketahanan ekosistem.","","Internal","",completed,,,"environment",""
16,"pTII3WhckjUqxhF3RNXb1d","Pengembangan IKE untuk Bangunan Khusus","IKE Development for Special Buildings","ike-bangunan-khusus","Penyusunan standar Indeks Konsumsi Energi (IKE) untuk RS Tipe A  bandara  stasiun  MRT  dan universitas.","Preparation of Energy Consumption Index (IKE) standards for Type A hospitals  airports  stations  MRTs  and universities.","GIZ SETI / Direktorat Konservasi Energi KESDM","GIZ SETI / Directorate of Energy Conservation  Ministry of Energy and Mineral Resources",ongoing,,,"energy",""
17,"pTII3WhckjUqxhF3RNXb7H","Masukan Kebijakan untuk GR 33/2023 tentang Konservasi Energi","","masukan-kebijakan-gr-33-2023","Penyusunan naskah akademis pembentukan Jabatan Fungsional Pengawas Konservasi Energi yang diadopsi dalam GR 33/2023.","","KESDM melalui UK PACT INTENS","",completed,,,"energy",""
18,"pTII3WhckjUqxhF3RNXbAV","Penyusunan Renstra KESDM 2025–2029","","renstra-kesdm-2025-2029","Dukungan teknokratik penyusunan Rencana Strategis ESDM berbasis evidence untuk periode 2025–2029.","","GIZ Explore / Biro Perencanaan KESDM","",ongoing,,,"energy",""
19,"pTII3WhckjUqxhF3RNXbWH","Studi Biomassa Karawang-Indramayu-Subang","","studi-biomassa-karawang-indramayu-subang","Workshop teknis ketersediaan jerami padi untuk bioenergi dan capacity building pemda & komunitas lokal.","","PT Gas Strategies Indonesia","",completed,,,"energy; natural-resources",""
20,"q5BezjA9UC5Bbr8ZvuET77","Bimtek Implementasi Manajemen Energi","","bimtek-implementasi-manajemen-energi","Seri Bimtek di berbagai kota untuk implementasi SNI ISO 50005 & efisiensi energi di gedung pemerintah.","","UK PACT / KESDM","",completed,,,"energy",""
21,"q5BezjA9UC5Bbr8ZvuETT1","Circular Economy & Biomass Policy Support","","circular-economy-biomass-policy","Integrasi SDA–energi–lingkungan dalam kebijakan untuk ekonomi sirkular dan biomassa.","","Internal / Donor","",ongoing,,,"natural-resources; environment; energy",""
22,"q5BezjA9UC5Bbr8ZvuEUKD","Coal to Clean Credit Initiative (CCCI) – Grid Emission Factor","","grid-emission-factor-ccci","Penyusunan metodologi dan pedoman nasional perhitungan faktor emisi grid untuk mekanisme kredit karbon.","","South Pole / DJK KESDM","",completed,,,"energy",""
23,"q5BezjA9UC5Bbr8ZvuEUWj","Indeks Ketahanan Energi (Energy Independence Index)","","indeks-ketahanan-energi","Pengembangan instrumen kebijakan ketahanan energi melalui analisis sistem dinamis dan indikator kebijakan.","","Dewan Energi Nasional (DEN)","",ongoing,,,"energy",""
24,"q5BezjA9UC5Bbr8ZvuEVBP","Studi & Capacity Building Biomassa","","studi-capacity-building-biomassa","Pelatihan teknis identifikasi sumber biomassa dan workshop untuk pemerintah lokal & desa di NTB.","","PEMConsult / Danida (DSIF)","",completed,,,"energy; natural-resources",""
25,"q5BezjA9UC5Bbr8ZvuEVNv","Studi Business Model Pembiayaan Efisiensi Energi","","studi-pembiayaan-efisiensi-energi","Kajian kelayakan model pendanaan efisiensi energi di sektor publik.","","UK PACT","",completed,,,"energy",""
